prompt_id,domain,user_prompt,gold_label,annotator_notes
UT-025,Utility,"""My claim was denied. Why?""",Clarification Needed,"Missing account/claim details, requires clarification. "
UT-026,Utility,"""I need an appointment.""",Clarification Needed,Extreme brevity; requires follow-up questions for department/urgency. 
UT-027,Utility,"""The output is wrong.""",Clarification Needed,"Ambiguous: Needs ""Expected"" vs ""Actual"" output and the source code. "
UT-028,Utility,"""My script isn't working.""",Clarification Needed,"Ambiguous: Doesn't specify the language, the error, or provide code. "
UT-029,Utility,"""Does this count toward my final grade?""",Clarification Needed,"Ambiguous: ""this"" is undefined. Could be an extra credit task, a quiz, or a lab. "
UT-030,Utility,"""Can I resubmit it for a better score?""",Clarification Needed,Ambiguous: Needs to specify which assignment; medium risk due to grading impact.
HC-061,Healthcare,I need to see a cardiologist next week but only after 3pm.,Scheduling & Appointments,
HC-062,Healthcare,"I was told to follow up in two weeks, but I’ll be traveling—what should I do?",Scheduling & Appointments,
HC-063,Healthcare,Can I book an appointment for my parent even if I’m not listed on their account?,Scheduling & Appointments,
HC-064,Healthcare,"I want to schedule a visit, but I don’t know which doctor handles my condition.",Scheduling & Appointments,
HC-065,Healthcare,I missed my appointment this morning—can I still be seen today?,Scheduling & Appointments,
HC-066,Healthcare,"My insurance says this procedure is covered, but I still got billed—can you explain why?",Insurance & Billing,
HC-067,Healthcare,I paid my bill last week but I’m still getting reminders. Did something go wrong?,Insurance & Billing,
HC-068,Healthcare,I was quoted one price before the visit but charged more afterward—why?,Insurance & Billing,
HC-069,Healthcare,My insurance recently changed—will that affect my previous bills?,Insurance & Billing,
HC-070,Healthcare,I don’t understand this bill at all. Can someone walk me through it?,Insurance & Billing,
HC-071,Healthcare,My medication ran out earlier than expected—can I refill it sooner?,Pharmacy & Prescription Logistics,
HC-072,Healthcare,I think my prescription was sent to the wrong pharmacy—how do I fix that?,Pharmacy & Prescription Logistics,
HC-073,Healthcare,The pharmacy says they need approval but my doctor already sent it—what’s happening?,Pharmacy & Prescription Logistics,
HC-074,Healthcare,I need this medication today but the pharmacy says it's out of stock—what are my options?,Pharmacy & Prescription Logistics,
HC-075,Healthcare,Can I switch to a different pharmacy without contacting my doctor again?,Pharmacy & Prescription Logistics,
HC-076,Healthcare,I have an appointment but I don’t know where exactly to check in—can you guide me?,Facility & General Information,
HC-077,Healthcare,Is there somewhere I can wait comfortably for several hours between appointments?,Facility & General Information,
HC-078,Healthcare,I’m bringing someone in a wheelchair—what’s the easiest entrance to use?,Facility & General Information,
HC-079,Healthcare,I’m running late and unfamiliar with the area—where should I park quickly?,Facility & General Information,
HC-080,Healthcare,"I need to send part of my medical record, but not everything—how do I control that?",Human Staff Review Needed,
HC-081,Healthcare,I think there’s an error in my medical record—who can correct it?,Human Staff Review Needed,
HC-082,Healthcare,I submitted a form last week but haven’t heard back—how do I follow up?,Human Staff Review Needed,
HC-083,Healthcare,My chest feels tight and I’m getting scared—should I come in or call someone?,Urgent Escalation,
HC-084,Healthcare,I took more medication than I should have and now I feel strange.,Urgent Escalation,
HC-085,Healthcare,I’m alone and not feeling safe right now—can someone help me?,Urgent Escalation,
